722816.25,1.19826,78.325,6.5034,5.8723
722816.5,1.17021,82.013,7.3681,6.0335
722816.75,1.16106,81.826,7.3681,6.0478
722817,1.24624,76.504,7.3681,5.8785
722817.25,1.29147,75.646,6.5034,5.7965
722817.5,1.28859,74.139,6.5034,5.7746
722817.75,1.31342,72.062,6.5034,5.814
722818,1.33607,65.622,6.5034,5.6954
722818.25,1.35917,63.462,6.5034,5.7205
722818.5,1.35495,63.706,6.5034,5.821
722818.75,1.28981,59.489,6.5034,5.7048
722819,1.21917,57.08,6.5034,5.6081
722819.25,1.19162,57.88,6.5034,5.6015
722819.5,1.12565,51.618,5.7403,5.3783
722819.75,1.10407,49.263,5.7403,5.3409
722820,1.09387,53.344,5.7403,5.3995
722820.25,1.07681,56.634,6.5034,5.4643
722820.5,1.03252,55.888,5.7403,5.3666
722820.75,0.99419,53.098,5.7403,5.2669
722821,0.98373,55.038,5.7403,5.2278
722821.25,0.99782,58.008,5.7403,5.2772
722821.5,0.9944,56.065,5.7403,5.1924
722821.75,1.03049,57.932,5.7403,5.2533
722822,1.06936,58.472,5.7403,5.2918
722822.25,1.10059,56.57,5.7403,5.3055
722822.5,1.09292,47.432,5.7403,5.2293
722822.75,1.13778,47.657,5.7403,5.3683
722823,1.15944,51.958,5.7403,5.5153
722823.25,1.16305,53.405,5.7403,5.5345
722823.5,1.14131,57.535,6.5034,5.6544
722823.75,1.1196,64.487,6.5034,5.8063
722824,1.10778,68.27,6.5034,5.7744
722824.25,1.03698,75.296,6.5034,5.8261
722824.5,0.97216,81.492,6.5034,5.8227
722824.75,1.03037,76.144,6.5034,5.658
722825,1.03892,74.598,6.5034,5.6104
722825.25,1.00958,80.871,6.5034,5.6994
722825.5,0.98443,83.799,6.5034,5.7632
722825.75,0.97694,84.905,6.5034,5.801
722826,0.86264,92.337,7.3681,6.0734
722826.25,0.73239,97.84,7.3681,6.3069
722826.5,0.74976,97.773,7.3681,6.2697
722826.75,1.04153,84.687,6.5034,5.8463
722827,1.05088,83.549,6.5034,5.9142
722827.25,0.98773,87.277,7.3681,6.1471
722827.5,1.00839,85.883,7.3681,6.1515
722827.75,1.00646,86.121,7.3681,6.1729
722828,0.89441,90.217,7.3681,6.3919
722828.25,0.80511,94.387,8.3476,6.6044
722828.5,0.79662,95.35,8.3476,6.5636
722828.75,1.06882,83.075,7.3681,6.1268
722829,1.12463,80.991,7.3681,6.007
